"","Provinces","intermon","premon","mon","postmon","intermonH","premonH","monH","postmonH"
"1","Amnat Charoen",NA,11.3847363213748,36.5937953187048,10.5715408698481,62.99815919616,68.8901053667068,81.316885750944,73.9142860911109
"2","Ang Thong",9.84508062417811,26.7223616941977,45.3576928756777,16.8772810700196,59.7492567331606,66.6869290467522,72.4789152012668,71.6859728242484
"3","Bangkok",15.184785544644,25.0688913427129,55.7883422832599,23.6518779451136,70.4346075125942,72.8891342295981,75.7191169720648,72.710974672911
"4","Bueng Kan",NA,NA,NA,NA,63.7309082239324,73.9890627311938,84.9381672425704,73.7258614626797
"5","Buri Ram",1.17182159667203,16.6659071526688,64.5803902165917,3.90607198890676,60.7469911582335,66.9584632445002,76.8639050414231,73.4755869424019
"6","Chachoengsao",4.2490811362043,6.07011590886328,37.027707044066,19.1208651129193,68.581895938818,77.3708814206331,82.0362136287966,74.8434009607287
"7","Chai Nat",6.22873701975696,5.33891744550597,24.9149480790278,10.9744414157623,58.137703616253,64.9868717912729,72.991566342986,72.5726211233531
"8","Chaiyaphum",0.625224969341647,10.1822352149925,24.6517273626135,9.82496380394017,64.1848385350766,75.2682946828266,80.5026762870771,74.3904915659992
"9","Chanthaburi",6.34916855653637,31.1506082305066,68.0551504653742,12.8967486304645,72.4937320033432,83.322099559698,87.8042355917551,79.5272264725123
"10","Chiang Mai",0.720980966703297,7.26989141425824,42.1773865521428,3.06416910848901,67.7301105079324,68.1169230440794,83.7113216251783,78.2390156860955
"11","Chiang Rai",0.244895360294136,1.55100394852953,6.12238400735339,1.14284501470597,70.6395612082485,68.2767785871932,81.5235017634364,77.4608727146405
"12","Chon Buri",0.567515724239245,1.86469452250038,2.83757862119623,0.891810423804528,71.2390188336766,79.3175388122156,81.1059487377456,75.760226951574
"13","Chumphon",3.53211523837622,14.9595468919464,40.5154394990214,12.2585175920116,80.4788433089202,81.0861353448636,85.9920091640905,84.1787670938343
"14","Kalasin",1.32991238946382,10.9462019748176,29.8718782864181,12.0715124582101,63.0376810991751,68.5312799274517,78.2053725374473,72.9861843358537
"15","Kamphaeng Phet",4.8209764818993,13.3609919641209,56.8875224864117,6.6116248894619,66.8921488007012,68.1365625555064,80.3568538169631,78.083795190987
"16","Kanchanaburi",3.23244125935911,7.78180303179046,24.5426095618007,7.5423629385046,67.1995693072734,75.4373525449997,85.0923226599114,77.5056945882379
"17","Khon Kaen",1.94018080202509,14.6654842976603,53.297907914454,11.8122772358586,60.8048546926936,68.2272602424053,75.0457463504216,73.6824805669945
"18","Krabi",8.0363535411096,9.49750873040226,16.5597588119834,7.30577594646327,77.5135824879918,79.0255716053862,85.1936928503771,85.2238069763648
"19","Lampang",0.51906728799021,7.13717520986539,16.4803863936892,1.81673550796574,66.4122242818862,67.6647306814218,83.2517573804203,76.4149075680347
"20","Lamphun",1.97454320177117,11.3536234101842,53.8063022482643,3.70226850332093,66.6217983451881,64.8517962599867,80.1880216770203,76.8370057151282
"21","Loei",1.62459506967888,25.9935211148621,31.1922253378345,3.73656866026143,66.7351941399825,75.0102348693491,80.578354979398,74.4826275848924
"22","Lop Buri",3.33412907880681,23.0721732253431,52.5458742819953,22.538712572734,59.794318006673,68.2265212966032,76.6443550324221,71.9156133931711
"23","Mae Hong Son",1.56983406853896,NA,21.5852184424106,NA,66.867878851896,66.3417720120472,86.3959239657412,80.206594754244
"24","Maha Sarakham",0.641022216761663,5.55552587860108,14.1024887687566,3.31194811993526,59.7464851080897,66.8194198304842,74.2311061636523,72.731642705376
"25","Mukdahan",1.48762150148613,10.4133505104029,38.6781590386395,3.57029160356672,65.7053794031557,70.9749294041436,81.9244059617969,74.5603195964427
"26","Nakhon Nayok",3.62178868070311,24.5476788358766,34.6082029489408,10.4629450775868,70.0857709647263,76.1343126133763,82.7617556984472,75.7111505453642
"27","Nakhon Pathom",10.3493507587518,12.5154939408162,48.2568564448777,24.3089401542775,64.5749400071507,69.0377994449774,73.3109195828957,71.3819437500905
"28","Nakhon Phanom",0.573801651114251,9.89807848172083,19.2223553123274,1.00415288944994,65.0366366566091,71.9298418017401,83.762187196332,74.4871397156646
"29","Nakhon Ratchasima",1.13592564622418,11.2809167625022,43.4785333554774,12.7302012076848,63.8742071418913,71.9696625565412,77.1254194930684,73.871803785083
"30","Nakhon Sawan",10.5245216698038,14.8088402256532,63.7990915381914,12.8529556675481,60.9628675539606,66.9479417411902,76.0709661021422,74.1007643749448
"31","Nakhon Si Thammarat",12.9396408884689,12.5414980919006,11.1479983039117,3.84871370015999,81.4719191258788,79.5947245424934,82.0709369494845,84.9012917957982
"32","Nan",NA,2.30423917164697,14.4538638948764,5.86533607328318,65.9053673906857,71.758607734636,84.3578050956977,76.9001677836721
"33","Narathiwat",2.38926125447459,2.81089559349952,8.99486589919847,5.62179118699905,85.1931687722404,84.2177815115892,83.0762331017881,86.5904073564351
"34","Nong Bua Lam Phu",1.20578051177344,14.8712929785391,15.8761100716837,0.803853674515628,64.5956268613438,70.0841081605416,77.3945513463929,74.4261962731391
"35","Nong Khai",1.44025490296006,7.75521870824646,16.2859592873176,7.20127451480028,63.9626138423171,72.0528674125671,81.8447754425662,73.4932877165931
"36","Nonthaburi",6.24883444591878,17.9653990320165,85.2380073638608,33.5874851468134,67.8145419817942,70.5095114697315,73.7224516909443,71.4972040274658
"37","Pathum Thani",8.93899399509933,8.15025923082586,20.7700154592014,11.3051982879197,69.0435961638346,72.3124990022615,75.8747503521419,73.3383693364588
"38","Pattani",2.23004472354693,14.495290703055,48.9494816818551,NA,80.8649924231964,80.9228691422052,78.225843298088,85.3375918119856
"39","Phangnga",10.1911866617749,7.99616184231569,18.9712859396117,14.7380237877975,78.255698602591,80.6878554216072,85.7511392244652,84.5163196094001
"40","Phatthalung",11.7462644853718,20.6572237501367,49.8203631620944,16.2017441177543,82.330348866881,82.1706789340104,81.7595730994685,85.5301839473746
"41","Phayao",12.5357417875968,7.16328102148387,5.96940085123656,3.97960056749104,66.1569713744938,68.2064274325821,81.7560539200779,76.9349506257144
"42","Phetchabun",NA,4.52136240980396,10.8923730781641,0.616549419518722,64.8303682954718,74.5487629295958,83.1380809242876,74.0260092538645
"43","Phetchaburi",2.60643528872787,15.6386117323672,52.629943330082,3.80940542198689,68.7426441201831,78.5571794068905,81.8608190423761,75.3013397971453
"44","Phichit",8.33221871635592,18.6378576550067,16.6644374327118,2.41195804947145,63.608949893581,67.4709248800023,79.2944288131934,74.4664613668517
"45","Phitsanulok",12.0777301077982,11.717200850849,31.3660453545805,7.21058513898403,66.6793107787215,71.3928601805989,83.0784903435986,75.3404701626068
"46","Phra Nakhon Si Ayutthaya",1.90095320922485,12.8314341622677,32.7914428591287,6.65333623228698,64.402425707475,69.3727473093408,73.9907246708783,72.309601755191
"47","Phrae",3.21974087525436,33.9146038860126,78.1323785728391,3.64903965862161,66.761973233831,69.7134334996598,84.7693044397922,76.6823353436702
"48","Phuket",4.75438830040127,11.7274911409898,21.8701861818458,2.85263298024076,77.3088754640592,79.1523202215875,82.2907138037515,82.3459882802896
"49","Prachin Buri",4.39572032668993,31.2096143194985,40.6604130218819,NA,68.9291709877429,77.2273932575419,84.705523323767,75.676296947631
