"","Provinces","Year","Dengue","Population_density","Humidity"
"1","Amnat Charoen",2006,73.4586557879186,116.705174665196,72.4648711154693
"2","Ang Thong",2006,114.273257244925,293.216862941101,72.9776597698843
"3","Bangkok",2006,133.514151240464,3630.91837573793,70.4577179476628
"4","Bungkan",2006,NA,0,72.275576805911
"5","Buri Ram",2006,105.594146100113,148.865554542165,69.7464404632089
"6","Chachoengsao",2006,78.1527423266147,122.258643244253,67.5409937833934
"7","Chai Nat",2006,54.2789940293107,137.263508069251,69.421606125817
"8","Chaiyaphum",2006,55.3770687131173,87.5818488033647,67.0311309329121
"9","Chanthaburi",2006,143.649938591635,79.2661722940991,67.301116342104
"10","Chiang Mai",2006,71.8577696814286,82.4734320890422,72.1322162662727
"11","Chiang Rai",2006,10.6937640661773,104.955837583142,76.5747063125845
"12","Chon Buri",2006,6.72911501597962,277.169378867752,78.9686450524542
"13","Chumphon",2006,90.1728243208989,79.7076655581088,80.9244464746074
"14","Kalasin",2006,68.7462404399759,140.434384674494,82.1642304035383
"15","Kamphaeng Phet",2006,99.5875998975198,84.6146786113025,75.7638712753996
"16","Kanchanaburi",2006,52.5571004762463,42.8291670319396,77.0256919785932
"17","Khon Kaen",2006,97.750873937323,160.802999010379,76.3660140902124
"18","Krabi",2006,48.9486988413039,85.6667669106503,75.9221811066488
"19","Lampang",2006,34.9072751173417,61.7354721304782,71.961259454428
"20","Lamphun",2006,85.6458113768243,90.0076832904191,69.9832430529133
"21","Loei",2006,80.0925369351689,53.6826108405257,70.5485497004686
"22","Lop Buri",2006,121.629028794872,121.420159803141,72.005589094101
"23","Mae Hong Son",2006,31.7891398879138,20.1221345609296,73.077029110106
"24","Maha Sarakham",2006,31.8374367658292,177.199956989109,71.3250295192272
"25","Mukdahan",2006,70.2157348701455,77.29496316676,74.2136721774808
"26","Nakhon Nayok",2006,88.9350331594875,117.81479736098,72.6130829372189
"27","Nakhon Pathom",2006,114.685247361517,379.050300070054,74.936743924112
"28","Nakhon Phanom",2006,37.5840081479834,126.136926802049,71.8721011188343
"29","Nakhon Ratchasima",2006,84.8027249681157,124.69949688601,69.8255784629222
"30","Nakhon Sawan",2006,122.289353561526,112.112024607621,71.665465402931
"31","Nakhon Si Thammarat",2006,48.307992650284,151.919506780084,74.745849497388
"32","Nan",2006,25.7655834647797,41.6369423064988,73.4326740034989
"33","Narathiwat",2006,25.8602394601956,158.011855844019,68.7350183275292
"34","Nong Bua Lam Phu",2006,41.5994276561837,128.707160192854,69.9225737175852
"35","Nong Khai",2006,37.7789939930292,297.231090085226,71.2211563553969
"36","Nonthaburi",2006,162.860247746758,1605.41890365304,72.621045341079
"37","P.Nakhon S.Ayutthaya",2006,54.8170661170062,295.15105763815,74.6230131165208
"38","Pathum Thani",2006,79.5010943944481,564.494945787807,74.0331492734992
"39","Pattani",2006,66.9482569935059,327.63575343906,75.2402883062151
"40","Phangnga",2006,115.032383236055,58.8348543897653,72.7836125306724
"41","Phatthalung",2006,32.8317046818011,146.977651743787,74.2730528968783
"42","Phayao",2006,18.4964825855616,76.5089550688742,74.8072056861571
"43","Phetchabun",2006,96.3378581718262,79.1193626732813,75.3664734607131
"44","Phetchaburi",2006,49.9933122981356,73.360783327213,75.6215602736641
"45","Phichit",2006,73.0071745322133,123.11419102086,73.9375338989569
"46","Phitsanulok",2006,70.8105070436257,78.0805658064541,74.89526608363
"47","Phrae",2006,150.039924786853,71.6320226446097,75.9548059642564
"48","Phuket",2006,49.1286791041465,553.808785453581,69.7707682860056
"49","Prachin Buri",2006,96.0464891381751,95.292839981505,75.1217542229196
