"","Reporting_Area","Longitude","Latitude","Year","Month","Relative_Humidity","row_number"
"1","Amnat Charoen",104.74137,15.892609,"2006","01",63.759158912572,1
"2","Amnat Charoen",104.74137,15.892609,"2006","02",62.2371594797481,2
"3","Amnat Charoen",104.74137,15.892609,"2006","03",63.6658267476342,3
"4","Amnat Charoen",104.74137,15.892609,"2006","04",70.6147306268865,4
"5","Amnat Charoen",104.74137,15.892609,"2006","05",72.3897587255998,5
"6","Amnat Charoen",104.74137,15.892609,"2006","06",76.015204967152,6
"7","Amnat Charoen",104.74137,15.892609,"2006","07",83.5584723385898,7
"8","Amnat Charoen",104.74137,15.892609,"2006","08",85.6931626970118,8
"9","Amnat Charoen",104.74137,15.892609,"2006","09",80.0007030010223,9
"10","Amnat Charoen",104.74137,15.892609,"2006","10",78.0846701145172,10
"11","Amnat Charoen",104.74137,15.892609,"2006","11",69.7439020677046,11
"12","Amnat Charoen",104.74137,15.892609,"2006","12",65.5942455681888,12
"13","Amnat Charoen",104.74137,15.892609,"2007","01",63.4660148273815,13
"14","Amnat Charoen",104.74137,15.892609,"2007","02",60.3602134682915,14
"15","Amnat Charoen",104.74137,15.892609,"2007","03",66.1579916433855,15
"16","Amnat Charoen",104.74137,15.892609,"2007","04",62.7828888177872,16
"17","Amnat Charoen",104.74137,15.892609,"2007","05",76.4995860316537,17
"18","Amnat Charoen",104.74137,15.892609,"2007","06",77.6857052542947,18
"19","Amnat Charoen",104.74137,15.892609,"2007","07",80.1741295554421,19
"20","Amnat Charoen",104.74137,15.892609,"2007","08",84.2282753640955,20
"21","Amnat Charoen",104.74137,15.892609,"2007","09",82.7211663722992,21
"22","Amnat Charoen",104.74137,15.892609,"2007","10",80.6603499759327,22
"23","Amnat Charoen",104.74137,15.892609,"2007","11",69.9062299641696,23
"24","Amnat Charoen",104.74137,15.892609,"2007","12",68.3528760606592,24
"25","Amnat Charoen",104.74137,15.892609,"2008","01",65.7085493998094,25
"26","Amnat Charoen",104.74137,15.892609,"2008","02",65.3165986104445,26
"27","Amnat Charoen",104.74137,15.892609,"2008","03",63.0218835809014,27
"28","Amnat Charoen",104.74137,15.892609,"2008","04",65.833569912477,28
"29","Amnat Charoen",104.74137,15.892609,"2008","05",79.5048677574505,29
"30","Amnat Charoen",104.74137,15.892609,"2008","06",82.0434442606839,30
"31","Amnat Charoen",104.74137,15.892609,"2008","07",82.6868996056644,31
"32","Amnat Charoen",104.74137,15.892609,"2008","08",84.3658961772919,32
"33","Amnat Charoen",104.74137,15.892609,"2008","09",85.966437292099,33
"34","Amnat Charoen",104.74137,15.892609,"2008","10",81.1524944088676,34
"35","Amnat Charoen",104.74137,15.892609,"2008","11",73.6628379301591,35
"36","Amnat Charoen",104.74137,15.892609,"2008","12",70.881084242734,36
"37","Amnat Charoen",104.74137,15.892609,"2009","01",65.2350251674652,37
"38","Amnat Charoen",104.74137,15.892609,"2009","02",62.7126198161732,38
"39","Amnat Charoen",104.74137,15.892609,"2009","03",66.516532533819,39
"40","Amnat Charoen",104.74137,15.892609,"2009","04",69.3574476978996,40
"41","Amnat Charoen",104.74137,15.892609,"2009","05",78.0437801924619,41
"42","Amnat Charoen",104.74137,15.892609,"2009","06",82.5175382917578,42
"43","Amnat Charoen",104.74137,15.892609,"2009","07",84.5072203159332,43
"44","Amnat Charoen",104.74137,15.892609,"2009","08",84.8192740093578,44
"45","Amnat Charoen",104.74137,15.892609,"2009","09",85.3832763975317,45
"46","Amnat Charoen",104.74137,15.892609,"2009","10",78.5913794734261,46
"47","Amnat Charoen",104.74137,15.892609,"2009","11",70.2128082492135,47
"48","Amnat Charoen",104.74137,15.892609,"2009","12",68.5693184895949,48
"49","Amnat Charoen",104.74137,15.892609,"2010","01",69.3866823803295,49
"50","Amnat Charoen",104.74137,15.892609,"2010","02",68.0912059307098,50
"51","Amnat Charoen",104.74137,15.892609,"2010","03",59.0787235931917,51
"52","Amnat Charoen",104.74137,15.892609,"2010","04",64.2864802490581,52
"53","Amnat Charoen",104.74137,15.892609,"2010","05",73.0026963060553,53
"54","Amnat Charoen",104.74137,15.892609,"2010","06",79.0233671578494,54
"55","Amnat Charoen",104.74137,15.892609,"2010","07",79.5714372201399,55
"56","Amnat Charoen",104.74137,15.892609,"2010","08",86.6641982772134,56
"57","Amnat Charoen",104.74137,15.892609,"2010","09",84.9733441569588,57
"58","Amnat Charoen",104.74137,15.892609,"2010","10",81.0341408166018,58
"59","Amnat Charoen",104.74137,15.892609,"2010","11",71.3705410263755,59
"60","Amnat Charoen",104.74137,15.892609,"2010","12",69.5105298649181,60
"61","Amnat Charoen",104.74137,15.892609,"2011","01",68.1302905646237,61
"62","Amnat Charoen",104.74137,15.892609,"2011","02",65.5566651842811,62
"63","Amnat Charoen",104.74137,15.892609,"2011","03",64.5210655212402,63
"64","Amnat Charoen",104.74137,15.892609,"2011","04",67.2119498643008,64
"65","Amnat Charoen",104.74137,15.892609,"2011","05",77.0393226840279,65
"66","Amnat Charoen",104.74137,15.892609,"2011","06",80.8210421908986,66
"67","Amnat Charoen",104.74137,15.892609,"2011","07",83.415817304091,67
"68","Amnat Charoen",104.74137,15.892609,"2011","08",85.6943342382258,68
"69","Amnat Charoen",104.74137,15.892609,"2011","09",88.9517104062167,69
"70","Amnat Charoen",104.74137,15.892609,"2011","10",80.4627667297017,70
"71","Amnat Charoen",104.74137,15.892609,"2011","11",72.2823768095537,71
"72","Amnat Charoen",104.74137,15.892609,"2011","12",69.2317820072174,72
"73","Amnat Charoen",104.74137,15.892609,"2012","01",72.9375754919919,73
"74","Amnat Charoen",104.74137,15.892609,"2012","02",66.8415669311177,74
