"","row_number","Reporting_Area","Longitude","Latitude","Month","Year","Dengue_Cases","Relative_Humidity"
"1",1,"Amnat Charoen",104.74137,15.892609,1,2006,0,63.759158912572
"2",2,"Amnat Charoen",104.74137,15.892609,2,2006,0,62.2371594797481
"3",3,"Amnat Charoen",104.74137,15.892609,3,2006,1,63.6658267476342
"4",4,"Amnat Charoen",104.74137,15.892609,4,2006,12,70.6147306268865
"5",5,"Amnat Charoen",104.74137,15.892609,5,2006,29,72.3897587255998
"6",6,"Amnat Charoen",104.74137,15.892609,6,2006,44,76.015204967152
"7",7,"Amnat Charoen",104.74137,15.892609,7,2006,35,83.5584723385898
"8",8,"Amnat Charoen",104.74137,15.892609,8,2006,35,85.6931626970118
"9",9,"Amnat Charoen",104.74137,15.892609,9,2006,21,80.0007030010223
"10",10,"Amnat Charoen",104.74137,15.892609,10,2006,23,78.0846701145172
"11",11,"Amnat Charoen",104.74137,15.892609,11,2006,16,69.7439020677046
"12",12,"Amnat Charoen",104.74137,15.892609,12,2006,11,65.5942455681888
"13",13,"Amnat Charoen",104.74137,15.892609,1,2007,1,63.4660148273815
"14",14,"Amnat Charoen",104.74137,15.892609,2,2007,1,60.3602134682915
"15",15,"Amnat Charoen",104.74137,15.892609,3,2007,2,66.1579916433855
"16",16,"Amnat Charoen",104.74137,15.892609,4,2007,29,62.7828888177872
"17",17,"Amnat Charoen",104.74137,15.892609,5,2007,21,76.4995860316537
"18",18,"Amnat Charoen",104.74137,15.892609,6,2007,54,77.6857052542947
"19",19,"Amnat Charoen",104.74137,15.892609,7,2007,65,80.1741295554421
"20",20,"Amnat Charoen",104.74137,15.892609,8,2007,61,84.2282753640955
"21",21,"Amnat Charoen",104.74137,15.892609,9,2007,28,82.7211663722992
"22",22,"Amnat Charoen",104.74137,15.892609,10,2007,15,80.6603499759327
"23",23,"Amnat Charoen",104.74137,15.892609,11,2007,0,69.9062299641696
"24",24,"Amnat Charoen",104.74137,15.892609,12,2007,0,68.3528760606592
"25",25,"Amnat Charoen",104.74137,15.892609,1,2008,3,65.7085493998094
"26",26,"Amnat Charoen",104.74137,15.892609,2,2008,2,65.3165986104445
"27",27,"Amnat Charoen",104.74137,15.892609,3,2008,3,63.0218835809014
"28",28,"Amnat Charoen",104.74137,15.892609,4,2008,31,65.833569912477
"29",29,"Amnat Charoen",104.74137,15.892609,5,2008,68,79.5048677574505
