"","Provinces","intermon_06","premon_06","mon_06","postmon_06","intermon_07","premon_07","mon_07","postmon_07","intermon_08","premon_08","mon_08","postmon_08","intermon_09","premon_09","mon_09","postmon_09","intermon_10","premon_10","mon_10","postmon_10","intermon_11","premon_11","mon_11","postmon_11","intermon_12","premon_12","mon_12","postmon_12","intermon_13","premon_13","mon_13","postmon_13","intermon_14","premon_14","mon_14","postmon_14","intermon_15","premon_15","mon_15","postmon_15","intermon_16","premon_16","mon_16","postmon_16","intermon_17","premon_17","mon_17","postmon_17","intermon_18","premon_18","mon_18","postmon_18","intermon_19","premon_19","mon_19","postmon_19","intermon_20","premon_20","mon_20","postmon_20"
"1","Amnat Charoen",NA,11.3847363213748,36.5937953187048,10.5715408698481,3.52302380410038,14.0739858610573,56.2959434442291,NA,NA,27.5077938749312,63.3757996138121,4.58463231248854,1.88392572447902,16.3918126926374,42.9949185380653,3.4933371312178,0.806004568806364,13.4321581985864,81.936165011377,7.25336542723666,2.9487660833583,21.4193534568159,55.9580609059316,2.67741918210199,1.60387054056487,7.20580307340845,49.106213537302,5.07075031091706,8.26266215363637,43.4226650327668,94.8372316053066,2.93036389791678,0.532084237586889,2.65687519594455,22.0520641263397,8.767688146617,3.71702560592158,6.89435723377174,122.242257106491,23.3347475604582,197.835905298996,211.844795256369,672.560941744004,122.981060916619,14.5425565829625,6.86702533668233,26.4116359103167,0.264116359103166,0,7.92732230907044,39.9008556223212,5.2848815393803,3.71989872415997,44.3918712369914,75.49276306171,22.3288454126185,0.797239808784849,13.2855055134848,81.0415836322572,7.17417297728178
"2","Ang Thong",9.84508062417811,26.7223616941977,45.3576928756777,16.8772810700196,3.8624638268288,7.02170760907345,58.982343916217,38.9704772303577,94.798170948166,74.0852577359405,102.876684912941,35.1114965573178,21.4101803637806,15.440221777731,14.3874793837948,10.527423939362,13.0231254487919,17.9538901855587,68.2951901176156,8.09685243662453,10.5666612424497,25.7149097160088,71.1563255155311,17.2606928230744,13.0386125338143,15.5075916710135,45.1129939520392,20.4418253845178,20.0977373456243,20.8062969023303,33.8543136037917,9.16887660102691,5.29367180217885,11.3005124076095,19.069614687841,12.7130764585607,16.9844253243426,82.5059135139729,204.67132193595,69.0500134559001,14.5457944826635,8.17961001042011,27.0282765561708,7.11270435688705,5.69631530109249,5.69719413189004,57.6840905853867,21.7205526278308,7.84572270301741,18.5944059444885,41.1222439156958,22.5278379712073,25.5869700072171,19.8854597518295,41.9402423856767,15.9083678014636,16.7153427337683,18.5614511415292,70.6063043422877,8.37085051480731
"3","Bangkok",15.184785544644,25.0688913427129,55.7883422832599,23.6518779451136,29.2644507577236,18.280885810478,53.0565938752379,31.5187686387552,29.4468094129545,34.6508913924275,74.1066128665985,49.3459556570298,29.0073387289966,17.486951436789,55.4601208055433,34.1670826468053,38.5483314264134,23.2605554021494,77.7466442683965,54.909008055377,34.1375301104742,33.9293142224635,89.6438920184152,32.748397831344,20.5993122321095,13.2248799384902,55.1681494242605,68.9733764877111,68.7552290310794,32.1312148164076,116.034266737218,57.0069940291103,27.1328708683398,10.3398474372188,26.3499337916221,25.1737542019894,26.9611329753828,32.2334113992677,138.798863161167,215.926927753196,108.028650430644,16.2782901284049,30.3568113205389,26.5380124471725,23.117886500445,12.5073811164617,79.377830015178,44.0400743537383,30.2744542923286,26.6136558409562,80.8998662963815,27.7607961789285,35.4520811452937,17.2147777951556,98.3318128735759,86.5212584610991,43.7435757415889,23.8784629650466,79.8119534862013,56.3676443932465
"4","Bungkan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.484715702122812,0.727073553184219,10.6637454467019,1.21178925530703,3.1232281686351,9.60993282656954,18.0186240498179,5.28546305461325,5.98481005930804,94.3698245915817,197.101532374823,1.67237663833183,1.90419602984679,10.2223479544606,25.1992763528564,2.37729022196759,0.711532760154165,0.948710346872221,36.7625259412985,45.7752742365846,16.3171336232628,30.7305357514325,124.813252898126,11.1102706178256,NA,7.78412039439543,34.9106005566826,2.35882436193801,3.30201815760922,13.9121084861504,24.9946355852871,6.60235656969848,15.1460508282367,52.838343103293,142.402888812014,0.236943242615664,11.3745423523975,52.8442280121802,142.418749037311,0.236969632341615
"5","Buri Ram",1.17182159667203,16.6659071526688,64.5803902165917,3.90607198890676,1.55771612154502,19.3948042681542,79.9792430188434,6.61628774365128,7.18242338599086,18.8132279620167,77.8389225644951,7.69338188137452,2.25607854614013,12.1640016347388,60.0476906095838,9.33217056633403,12.7702655272051,26.2333355782398,183.697489232466,23.0904665236341,9.66479786553698,16.5311410955232,89.93196063163,5.48910476530886,3.0549918016847,20.8460708334234,106.709002833286,33.9384201983173,23.6520383268844,35.0166661600964,101.250721862557,8.61169366685916,2.27286075088677,5.36392326182067,18.3004440697411,4.54355852765986,1.32327553127373,10.0132439320686,74.3751011558055,23.742094103081,19.1145340036106,8.85731246525389,19.9132485920956,5.33951460671334,2.00750226434462,5.76856757688811,28.529328777001,3.19779289588363,0.877473041864092,7.89598852449668,63.2305747715647,16.982641985227,24.0375731430536,37.1873229175099,157.476928681292,27.8904921881324,14.1759840557387,25.8892711442235,181.288196961017,22.7876225230329
"6","Chachoengsao",4.2490811362043,6.07011590886328,37.027707044066,19.1208651129193,9.8184291454348,16.9968262563362,70.2435209000797,21.058014830859,17.3705671772842,35.2774285744182,128.254380156147,29.5971646514186,15.6295904937625,16.9156281113998,51.933945956052,27.005651897147,20.6512651425965,24.7287928522013,77.4246728586779,26.2007448076895,12.2498800532578,37.624631592149,172.664975988777,47.8328649698638,24.1262395486474,27.0925754752791,130.392074479953,46.07186631625,17.3079300848294,17.6856780516422,58.2333301700413,11.0715220323288,4.4317738601548,3.56683245303908,19.9742617370189,14.8380230046426,6.96761758091153,20.1590291865832,156.019528704612,123.651510010662,39.2287860292593,8.31115850506206,22.3978678356757,10.1424307180418,5.89321749913193,5.59433517620058,38.740771095189,9.650228178946,9.75340901575162,22.3576022096532,134.562214541329,43.3265334746075,39.6965217137165,37.4626414214714,77.0065406996911,17.7600670442531,16.7205319446617,23.198716337696,72.6340761525481,24.5795923101779
"7","Chai Nat",6.22873701975696,5.33891744550597,24.9149480790278,10.9744414157623,1.78280428635272,11.9064628280231,33.6357574891651,16.9667095299328,33.3668947774842,47.1051219366764,83.1792975970425,15.2048178403196,5.37289531994356,18.2125433667529,10.1512536798295,4.17992798581213,5.99387566576854,10.5024365652831,34.5080058573589,9.90229733298125,9.30397380051656,19.2092972998931,57.3277466293686,19.2092972998932,15.0203491923373,25.2427359519667,30.6518936559595,32.7554549852901,39.7027581604885,30.9976736697333,58.3839678827987,5.11612089694628,2.10891743958422,2.41214515083445,9.04554431562919,3.91973587010598,9.3738680467131,17.552832512688,102.290644642906,42.6715411084311,24.8408022430669,7.58214495848017,17.8938621020132,3.33614378173128,3.65021346932457,7.92047839689517,39.9070257689718,7.92047839689517,3.36175750342778,3.36792085998328,20.5136997835345,18.0643027944558,21.0082749533079,13.3342843055474,53.3371372221895,17.3655795607129,10.2629738366804,10.9227542817197,35.8890497827932,10.2985968941928
"8","Chaiyaphum",0.625224969341647,10.1822352149925,24.6517273626135,9.82496380394017,4.90374620835189,10.6890233528438,43.2014693844102,10.6890233528438,5.42700601655758,17.5085276305896,42.5714961170174,5.95467690989596,3.46081757566858,6.2975475930507,20.4005062873473,7.0071304204367,6.03145403278095,16.2317071764546,57.2101154579958,5.58796476566471,1.94520329420341,11.9149116443108,50.8369563490592,11.2971014109021,5.99259959048627,18.2262752449321,62.427193954864,13.5596443851186,12.1418141971513,31.4850107603102,79.8558373473791,6.4201278924655,1.40631477153436,6.06192653296458,35.2294570973739,13.441663181791,7.81924395985703,29.3446049416666,170.356853239196,53.2420077684131,18.5267280401292,7.6358925568479,34.2298631858699,7.81143031677544,2.2830172592663,3.60035371279891,25.0268489792119,3.0734726816576,0.966935280343164,11.5179314850131,51.5229606886844,12.8367786016176,16.0394446936007,41.6917053952089,136.098083070501,42.5806543375375,11.8341837962503,16.3063091159396,57.4730567201151,5.61364740056938
"9","Chanthaburi",6.34916855653637,31.1506082305066,68.0551504653742,12.8967486304645,7.10359279106923,47.8327624896658,114.7592614464,28.5421833786071,20.5852574808243,80.3918270265195,128.509562911006,13.1052370091893,3.69975873888305,18.4603665645841,58.1015747664278,18.4603665645841,24.7988377159536,114.732371748363,265.064669975138,26.6999448588095,14.8169250650208,37.9447003901788,89.3041938475926,18.2057905912474,16.0476400361871,54.3623392972952,141.7235722733,25.5598367222371,27.1670107124786,66.938465914478,164.0276855978,26.7374608893524,8.12237935775631,26.1752005980751,130.122759807697,34.8374971988769,28.2082106902579,56.9050418242667,246.025098316137,77.0002216103939,33.9290509803885,19.8331396795638,73.3451957961228,20.768665136147,7.84065354113955,14.1659956458203,39.1428827055561,6.52381378425934,3.72206011260767,10.6007461437461,45.0066766102905,13.5763941840959,18.0881474826926,62.924906499564,249.832418090257,33.4230215531809,23.4962570598656,110.519478825176,255.331679579243,25.7195414466683
"10","Chiang Mai",0.720980966703297,7.26989141425824,42.1773865521428,3.06416910848901,0.780211225785712,2.81383713390931,30.7127329722442,5.44806764224994,3.17135430292381,20.0912928746965,190.49975865947,39.9988239243195,15.8259770722324,14.5689155423507,67.0535861781833,16.8853121557789,7.17749743802971,15.0047626453093,354.28249290463,21.3833054702383,4.66505221245954,6.64394838980891,22.951821710249,3.74477091061957,3.3048592890502,5.39928297522089,65.3313240001728,35.2753154381098,21.3242772545803,121.612313529772,522.855488105708,20.6162961691823,3.71766378884419,1.50441894132882,34.1965997817435,7.1170588378248,3.17490422430676,11.8103749246729,166.036587965401,102.836679222151,26.9227631665753,12.1362002244052,219.65377481624,29.4245609214353,8.37405099671417,14.0610134588846,86.7473814197315,16.0454306809046,6.21696765042875,5.90134966677046,60.5871899121767,13.8822225494505,6.79222358611706,11.2084377119095,136.126476011141,59.0124245532036,13.0462070490837,13.8036252678993,325.922034665542,19.6715631348201
