"","Provinces","intermon_06_mean","premon_06_mean","mon_06_mean","postmon_06_mean","intermon_07_mean","premon_07_mean","mon_07_mean","postmon_07_mean","intermon_08_mean","premon_08_mean","mon_08_mean","postmon_08_mean","intermon_09_mean","premon_09_mean","mon_09_mean","postmon_09_mean","intermon_10_mean","premon_10_mean","mon_10_mean","postmon_10_mean","intermon_11_mean","premon_11_mean","mon_11_mean","postmon_11_mean","intermon_12_mean","premon_12_mean","mon_12_mean","postmon_12_mean","intermon_13_mean","premon_13_mean","mon_13_mean","postmon_13_mean","intermon_14_mean","premon_14_mean","mon_14_mean","postmon_14_mean","intermon_15_mean","premon_15_mean","mon_15_mean","postmon_15_mean","intermon_16_mean","premon_16_mean","mon_16_mean","postmon_16_mean","intermon_17_mean","premon_17_mean","mon_17_mean","postmon_17_mean","intermon_18_mean","premon_18_mean","mon_18_mean","postmon_18_mean","intermon_19_mean","premon_19_mean","mon_19_mean","postmon_19_mean","intermon_20_mean","premon_20_mean","mon_20_mean","postmon_20_mean"
"1","Amnat Charoen",NA,3.79491210712495,9.14844882967621,5.28577043492403,1.17434126803346,4.69132862035243,14.0739858610573,NA,NA,9.16926462497708,15.843949903453,2.29231615624427,0.627975241493007,5.46393756421246,10.7487296345163,1.7466685656089,0.268668189602121,4.47738606619547,20.4840412528443,3.62668271361833,0.982922027786101,7.1397844856053,13.9895152264829,1.33870959105099,0.534623513521623,2.40193435780282,12.2765533843255,2.53537515545853,2.75422071787879,14.4742216775889,23.7093079013267,1.46518194895839,0.177361412528963,0.885625065314849,5.51301603158493,4.3838440733085,1.23900853530719,2.29811907792391,30.5605642766228,11.6673737802291,65.9453017663321,70.6149317521231,168.140235436001,61.4905304583094,4.84751886098751,2.28900844556078,6.60290897757916,0.132058179551583,0,2.64244076969015,9.97521390558031,2.64244076969015,1.23996624138666,14.7972904123305,18.8731907654275,11.1644227063092,1.2400170072505,14.7911961383464,18.8654178291484,11.1598246313272
"2","Ang Thong",4.92254031208906,8.90745389806591,11.3394232189194,8.43864053500981,1.28748794227627,2.34056920302448,14.7455859790542,19.4852386151788,31.5993903160553,24.6950859119802,25.7191712282353,17.5557482786589,7.13672678792685,5.146740592577,3.5968698459487,5.26371196968102,4.34104181626397,5.98463006185291,17.0737975294039,4.04842621831226,3.52222041414989,8.57163657200292,17.7890813788828,8.63034641153719,4.34620417793809,5.16919722367116,11.2782484880098,10.2209126922589,6.69924578187476,6.93543230077677,8.46357840094792,4.58443830051346,1.76455726739295,3.76683746920316,4.76740367196025,6.35653822928033,5.66147510811421,27.5019711713243,51.1678304839875,34.52500672795,4.84859816088783,2.72653667014004,6.7570691390427,3.55635217844353,1.89877176703083,1.89906471063001,14.4210226463467,10.8602763139154,2.6152409010058,6.19813531482952,10.280560978924,11.2639189856036,8.5289900024057,6.62848658394315,10.4850605964192,7.95418390073178,7.39153102317074,6.67241707702032,10.5545506491049,8.00690049242438
"3","Bangkok",7.59239277232198,8.35629711423764,13.947085570815,11.8259389725568,9.7548169192412,6.09362860349266,13.2641484688095,15.7593843193776,9.8156031376515,11.5502971308092,18.5266532166496,24.6729778285149,9.66911290966554,5.82898381226299,13.8650302013858,17.0835413234027,12.8494438088045,7.75351846738315,19.4366610670991,27.4545040276885,11.3791767034914,11.3097714074878,22.4109730046038,16.374198915672,6.86643741070318,4.40829331283008,13.7920373560651,34.4866882438555,22.9184096770265,10.7104049388025,29.0085666843046,28.5034970145551,9.04429028944658,3.44661581240626,6.58748344790551,12.5868771009947,8.98704432512759,10.7444704664226,34.6997157902919,107.963463876598,36.0095501435481,5.4260967094683,7.58920283013472,13.2690062235863,7.70596216681501,4.16912703882056,19.8444575037945,22.0200371768692,10.0914847641095,8.87121861365208,20.2249665740954,13.8803980894642,11.8173603817646,5.73825926505187,24.582953218394,43.2606292305495,16.1007304661841,5.80077812433709,24.8507867410855,43.7319577409093
"4","Bungkan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242357851061406,2.66593636167547,0.605894627653516,1.0410760562117,3.20331094218985,4.50465601245447,2.64273152730662,1.99493668643601,31.4566081971939,49.2753830937056,0.836188319165914,0.63473200994893,3.40744931815354,6.29981908821411,1.18864511098379,0.237177586718055,0.31623678229074,9.19063148532464,22.8876371182923,5.43904454108759,10.2435119171442,31.2033132245315,5.5551353089128,NA,2.59470679813181,8.72765013917064,1.17941218096901,1.10067271920307,4.63736949538346,6.24865889632178,3.30117828484924,5.04868360941224,17.612781034431,35.6007222030035,0.118471621307832,3.79151411746585,17.6147426707267,35.6046872593277,0.118484816170808
"5","Buri Ram",0.585910798336013,5.55530238422294,16.1450975541479,1.95303599445338,0.519238707181672,6.46493475605142,19.9948107547109,3.30814387182564,2.39414112866362,6.27107598733889,19.4597306411238,3.84669094068726,0.752026182046709,4.05466721157961,15.011922652396,4.66608528316702,4.25675517573504,8.7444451927466,45.9243723081166,11.545233261817,3.22159928851233,5.5103803651744,22.4829901579075,2.74455238265443,1.01833060056157,6.94869027780779,26.6772507083215,16.9692100991587,7.88401277562812,11.6722220533655,25.3126804656393,4.30584683342958,0.757620250295591,1.78797442060689,4.57511101743527,2.27177926382993,0.441091843757909,3.33774797735621,18.5937752889514,11.8710470515405,6.37151133453685,2.95243748841796,4.97831214802391,2.66975730335667,0.669167421448205,1.9228558589627,7.13233219425024,1.59889644794181,0.292491013954697,2.63199617483223,15.8076436928912,8.49132099261349,8.01252438101788,12.3957743058366,39.369232170323,13.9452460940662,7.04628957185143,12.4065944847624,39.4035972794111,13.9574187953577
"6","Chachoengsao",2.12454056810215,2.02337196962109,9.2569267610165,9.56043255645967,3.27280971514493,5.66560875211207,17.5608802250199,10.5290074154295,5.79018905909473,11.7591428581394,32.0635950390369,14.7985823257093,5.20986349792083,5.63854270379993,12.983486489013,13.5028259485735,6.88375504753218,8.24293095073377,19.3561682146695,13.1003724038447,4.08329335108594,12.5415438640497,43.1662439971942,23.9164324849319,8.04207984954913,9.0308584917597,32.5980186199882,23.035933158125,5.76931002827646,5.89522601721406,14.5583325425103,5.53576101616442,1.47725795338493,1.18894415101303,4.99356543425472,7.4190115023213,2.32253919363718,6.71967639552772,39.004882176153,61.8257550053308,13.0762620097531,2.77038616835402,5.59946695891893,5.07121535902092,1.96440583304398,1.86477839206686,9.68519277379725,4.825114089473,3.25113633858387,7.4525340698844,33.6405536353322,21.6632667373037,13.2321739045722,12.4875471404905,19.2516351749228,8.88003352212655,8.51937938951529,12.4278837523371,19.1596541181864,8.83760622388418
"7","Chai Nat",3.11436850987848,1.77963914850199,6.22873701975696,5.48722070788113,0.594268095450908,3.96882094267435,8.40893937229128,8.48335476496642,11.1222982591614,15.7017073122255,20.7948243992606,7.6024089201598,1.79096510664785,6.07084778891762,2.53781341995736,2.08996399290606,1.99795855525618,3.50081218842772,8.62700146433973,4.95114866649063,3.10132460017219,6.40309909996438,14.3319366573422,9.60464864994658,5.00678306411245,8.41424531732223,7.66297341398989,16.377727492645,13.2342527201628,10.3325578899111,14.5959919706997,2.55806044847314,0.702972479861405,0.804048383611484,2.2613860789073,1.95986793505299,3.1246226822377,5.85094417089599,25.5726611607264,21.3357705542156,8.28026741435565,2.52738165282672,4.4734655255033,1.66807189086564,1.21673782310819,2.64015946563172,9.97675644224296,3.96023919844759,1.12058583447593,1.12264028666109,5.12842494588364,9.0321513972279,7.0027583177693,4.44476143518246,13.3342843055474,8.68278978035643,6.85385691029109,4.47312794394234,13.419383831827,8.73820342537574
"8","Chaiyaphum",0.312612484670824,3.39407840499751,6.16293184065338,4.91248190197008,1.63458206945063,3.56300778428126,10.8003673461026,5.34451167642189,1.80900200551919,5.83617587686321,10.6428740292544,2.97733845494798,1.15360585855619,2.0991825310169,5.10012657183684,3.50356521021835,2.01048467759365,5.41056905881821,14.3025288644989,2.79398238283235,0.648401098067802,3.97163721477025,12.7092390872648,5.64855070545103,1.99753319682876,6.07542508164403,15.606798488716,6.77982219255928,4.04727139905044,10.4950035867701,19.9639593368448,3.21006394623275,0.468771590511453,2.02064217765486,8.80736427434347,6.72083159089551,2.60641465328568,9.78153498055554,42.5892133097991,26.6210038842065,6.1755760133764,2.5452975189493,8.55746579646748,3.90571515838772,0.761005753088768,1.2001179042663,6.25671224480298,1.5367363408288,0.322311760114388,3.83931049500435,12.8807401721711,6.4183893008088,5.34648156453357,13.8972351317363,34.0245207676252,21.2903271687687,6.20206762755047,13.9301620680796,34.1051355963164,21.3407706735931
"9","Chanthaburi",3.17458427826819,10.3835360768355,17.0137876163436,6.44837431523225,2.36786426368974,15.9442541632219,28.6898153615999,14.2710916893036,6.8617524936081,26.7972756755065,32.1273907277514,6.55261850459466,1.23325291296102,6.15345552152803,14.5253936916069,9.23018328229204,8.2662792386512,38.2441239161209,66.2661674937845,13.3499724294048,4.93897502167359,12.6482334633929,22.3260484618982,9.10289529562371,5.34921334539569,18.1207797657651,35.4308930683249,12.7799183611185,9.05567023749286,22.3128219714927,41.0069213994501,13.3687304446762,2.70745978591877,8.72506686602503,32.5306899519243,17.4187485994385,9.40273689675264,18.9683472747556,61.5062745790342,38.500110805197,11.3096836601295,6.61104655985461,18.3362989490307,10.3843325680735,2.61355118037985,4.72199854860676,9.78572067638901,3.26190689212967,1.24068670420256,3.53358204791537,11.2516691525726,6.78819709204795,6.02938249423088,20.974968833188,62.4581045225643,16.7115107765904,6.40322227291807,20.935955235573,62.341931984859,16.6804272425856
"10","Chiang Mai",0.360490483351648,2.42329713808608,10.5443466380357,1.53208455424451,0.260070408595237,0.937945711303104,7.67818324306105,2.72403382112497,1.0571181009746,6.69709762489883,47.6249396648674,19.9994119621598,5.27532569074413,4.85630518078358,16.7633965445458,8.44265607788945,2.3924991460099,5.00158754843643,88.5706232261576,10.6916527351192,1.55501740415318,2.21464946326964,5.73795542756224,1.87238545530978,1.10161976301673,1.7997609917403,16.3328310000432,17.6376577190549,7.10809241819343,40.5374378432574,130.713872026427,10.3081480845912,1.23922126294806,0.50147298044294,8.54914994543588,3.5585294189124,1.05830140810225,3.93679164155762,41.5091469913502,51.4183396110757,8.97425438885844,4.04540007480174,54.9134437040599,14.7122804607176,2.79135033223806,4.68700448629486,21.6868453549329,8.02271534045229,2.07232255014292,1.96711655559015,15.1467974780442,6.94111127472525,2.26407452870569,3.73614590396984,34.0316190027853,29.5062122766018,3.93891145105247,3.72567483614016,33.9362406636917,29.4235170184169
"11","Chiang Rai",0.122447680147068,0.517001316176509,1.53059600183835,0.571422507352983,NA,NA,12.2625206038864,0.81478542218514,0.138005728571558,3.34746801703526,12.5739267389887,8.49420009322698,0.445793725153545,4.50669243827083,15.3770015139148,4.79879287408468,1.11252976189245,1.9744335878406,40.1491336964066,12.3054487692883,1.75081603975491,1.52723942588015,7.91387702501535,1.70773135802963,0.665455100696302,1.30050526012872,17.0380024239204,16.0626234788239,9.34017589261961,36.0189086850283,231.390437517958,25.2960381684509,1.59961323003768,0.808586668753342,3.40388904104229,2.62138581321648,0.807745804074555,4.00246177389106,23.7028905051211,15.5160368767075,4.10007573701315,2.69231615557963,19.7263933706892,4.97042982568547,1.39531012289533,2.16696462430251,25.2490074528105,12.8470045583649,2.70306264333568,5.23760228729173,40.9380237602287,17.2917899043675,3.88088192609495,6.79523036603126,79.322731744382,37.1035021690684,3.49639562474888,6.77744190076439,79.1150817336388,37.0063731058783
"12","Chon Buri",0.283757862119623,0.621564840833459,0.709394655299056,0.445905211902264,NA,0.73799551456869,2.62910902065096,0.672103057910772,0.543826127589793,7.65101052789388,30.6105041137106,18.2228460208283,4.64560855577752,9.5470132156493,16.3337494007793,12.7631158108415,9.45896062009233,12.7740061673798,27.4342325436856,1.1205268567877,4.15444161127818,13.8562846682043,14.4611224910227,8.87095473467048,4.94955412991815,7.09651402928079,13.5936603196021,16.5785116596205,10.0034732132263,10.365185172157,18.2211513094254,9.95479888140422,3.35266939415932,3.36760732873827,3.12706394811411,4.57032423185908,5.56419641321256,9.17029713785586,24.7800308688385,31.1520388065398,13.2862586580635,3.82119881829979,3.13095336701731,3.379441729479,1.98235539225001,3.23467572375869,5.42188095307875,4.13560889514115,3.87008899197912,11.5510418077124,23.3427303197521,13.3157843061129,13.257979663866,12.3599796198615,27.6184914655511,24.5072229295705,14.0988602759627,12.2289632364951,27.3257341166605,24.2474451780419
