"","Provinces","intermonH_06","premonH_06","monH_06","postmonH_06","intermonH_07","premonH_07","monH_07","postmonH_07","intermonH_08","premonH_08","monH_08","postmonH_08","intermonH_09","premonH_09","monH_09","postmonH_09","intermonH_10","premonH_10","monH_10","postmonH_10","intermonH_11","premonH_11","monH_11","postmonH_11","intermonH_12","premonH_12","monH_12","postmonH_12","intermonH_13","premonH_13","monH_13","postmonH_13","intermonH_14","premonH_14","monH_14","postmonH_14","intermonH_15","premonH_15","monH_15","postmonH_15","intermonH_16","premonH_16","monH_16","postmonH_16","intermonH_17","premonH_17","monH_17","postmonH_17","intermonH_18","premonH_18","monH_18","postmonH_18","intermonH_19","premonH_19","monH_19","postmonH_19","intermonH_20","premonH_20","monH_20","postmonH_20"
"1","Amnat Charoen","70.4346075125942","72.8891342295981","75.7191169720648","72.710974672911","66.0085841395604","74.7205751680327","75.3410190459951","69.7510027874111","68.5841080672384","72.4411673104112","76.6029693938774","76.563810987314","66.9368525011994","74.4638066144567","75.7636571530775","75.4352850200445","72.6509899825023","70.0942559955805","78.3778371221946","74.3795929544046","70.4391214517214","76.052497736915","78.5776510215995","73.9224059813946","72.2458231541625","71.0000401252994","76.7959427165305","78.8082027525913","71.8767974080307","71.5130707717376","78.8384919993385","76.8150446250716","68.558579669146","72.8016588327343","76.0132528699209","77.5899856096209","67.7702421488879","72.1328391394536","73.5008689807883","78.4203330785248","71.8134693801167","70.951877174166","77.0906172455631","79.6729848096037","69.3035475216682","75.2057269557732","79.1995500396946","78.8536809300583","75.7089477986074","78.1744069290463","77.4020726663766","77.1002533339548","73.1793725413174","72.7793024686812","76.5224279575847","72.2422175373431","69.1694100924361","72.6735381053161","77.6838929273737","76.5026513459846"
"2","Ang Thong","70.9407692481213","74.0069417778276","76.1965171070549","72.8985073660303","66.0908380693651","75.94604732984","75.5751548827164","69.6376887869647","68.3518657534141","73.6743399802781","75.9145281333623","76.8253021991159","67.9012960148609","75.6401921620206","75.4120481370941","75.6146071276327","73.0961640375493","71.7687290572119","78.0299055144543","74.0686543081689","69.8984349293346","76.9564492283218","77.9289971111328","73.4306484207394","72.2711908735941","71.9854092885816","76.1177233373086","78.8554318795993","71.953524236604","73.2783800210227","78.3128164021049","76.6998427683913","68.7548730304548","73.8555648733624","75.5530627017885","77.2736302548506","67.3061777350158","73.6354077707126","74.4587570250504","78.66919368834","72.2824988177442","72.9566147020795","77.251134230396","79.7291471901841","69.1273299590183","76.0852933368032","78.2848210222139","78.7306204517996","75.2768559193048","78.8907339441495","77.2625393416938","76.901290720842","73.2296617212571","73.8282028258316","76.3897118831244","71.8646895791602","69.4893712621974","73.9762019960899","77.5687755787467","76.3343975187287"
"3","Bangkok","67.8145419817942","70.5095114697315","73.7224516909443","71.4972040274658","64.3523484923836","72.66497049435","73.7291757117805","67.7212121106414","66.8069555796457","70.4575839917695","75.5444875673962","74.4340742832198","63.7298088901942","72.096091833444","74.5099064102057","74.3679497374879","70.3310041570498","67.5145423894234","77.5151032800476","73.7246108411582","70.0708831911267","73.984753834671","77.771206835964","73.5754651115641","71.2608626846584","68.7565693772651","76.2091557147175","78.863224354558","71.1849193434963","68.6798424152395","78.0933687297157","77.1195584129188","67.4819424870997","71.097985725655","74.6900551172226","77.0236895238552","66.6340866876787","69.4754525942594","71.6519348622208","76.4501538732748","68.9652694990455","68.2841106454041","75.133339788891","78.808735752005","67.4938497995121","73.2515806438302","78.4724344941403","78.4118995102425","74.2676178907903","76.1891286245829","75.899956803131","75.9281677270268","71.5184724059588","69.8909179036272","75.2576705147831","70.3267751563226","67.2009092555594","70.8053993291056","75.832437757007","75.8299235395529"
"4","Bungkan","69.0435961638346","72.3124990022615","75.8747503521419","73.3383693364588","65.3734478006268","73.8177128341725","76.4566506607698","69.3756118458096","67.6825451174191","71.391439293084","78.2551015627266","76.6526422925515","65.3872334477138","72.9390044102181","77.2036737923575","75.2470354467335","71.5735967056979","68.7976105441355","79.4447130920863","74.4263163321089","69.0445789566921","75.5410107433206","80.0642689690731","73.8811866788581","70.8263241198197","70.9361826484353","78.3633578720659","77.7891506912684","69.9482449509523","70.0632960158999","79.5796255003108","75.9794428277724","66.6530584108712","71.7413734335317","77.2898585229817","75.9833245985579","65.9514135448846","70.6777946295911","73.2975066581575","77.4621614135138","69.9211334489753","68.0799939168168","77.7431657833628","78.9565208831636","66.6335027902433","73.8801886366539","80.1301365724885","78.0580115459933","73.6449550811214","76.8253974599807","78.3750581316428","76.2965326686897","71.2763287667001","71.3920222021172","76.8480733172728","71.2841417813065","66.5036467309832","70.9335041833003","78.7788151844893","76.2580496816352"
"5","Buri Ram","64.402425707475","69.3727473093408","73.9907246708783","72.309601755191","61.4487652134251","71.6139691763618","74.5426228929384","65.7133364875966","63.3598149803279","69.178621258212","76.5860050611029","74.9886550736131","62.0413157516714","70.3954115654681","75.940540436326","74.7547179696506","68.6498427111243","66.0910319933672","78.4044412148966","73.0615050021187","66.3189970916978","73.5450391897123","79.121628559968","72.8229340218209","67.8167634373719","68.7291942630802","77.5158784168319","77.124088462902","67.589608468538","66.9999984767218","77.8037056933362","75.1130410884749","63.773580567402","69.629961318914","75.1156786910977","74.2316514259712","62.2788094139053","67.6499997731802","71.3841800508576","75.1165915573488","65.8447799478275","64.3656160509264","75.8698376627017","76.1888472485316","61.0398403731523","70.5214718488234","78.2723062207352","76.3140768827184","69.1408148134658","73.723652520376","76.2728554674794","72.8872024614154","66.4810033416934","67.7350972419183","74.738857067267","66.1978156463869","61.1132954740745","67.5404472769047","75.806848704336","75.0378118867505"
"6","Chachoengsao","59.7492567331606","66.6869290467522","72.4789152012668","71.6859728242484","58.2037800409053","68.762882584053","72.7862923282753","64.6250906312916","59.7946724509308","66.8655745453831","73.9752886110461","75.2543473291113","61.5279367470915","68.8071310297395","74.278116313411","75.2103982170818","67.3623103349709","63.013628108364","76.6957438186434","73.1843402475771","65.1568221439187","72.5090594130529","77.3081821001785","72.8530014068422","65.9130081293044","66.0172993386321","75.7268424517592","76.852651622613","65.6819403049881","63.8905946416836","75.5659831105833","74.4183950936107","61.8815922392687","67.1054521261106","72.1615154425619","73.6469272287418","59.81605624331","64.0672302852805","69.3960731536683","73.6953249830848","63.2506805126678","60.5005591754648","73.9720050136801","74.5587915151305","58.317654760726","67.7970181990334","75.6214222007433","75.3697727195785","65.9757077828237","71.0994721318492","73.6786119070489","69.7552454059214","62.0715996354838","64.0903334747173","72.4625478748299","62.0929022271401","56.2558205328373","63.5872654216506","72.6224487259184","75.3976994736294"
"7","Chai Nat","59.794318006673","68.2265212966032","76.6443550324221","71.9156133931711","57.6771894799095","69.169600899431","75.2621410702347","68.8019713086819","60.4189693351769","67.8939144545739","78.9758659874627","76.2185220674637","62.4091137848134","70.9883963762803","79.1480560127748","75.771514831333","68.0023423043231","63.5114561570894","78.9024124889199","72.9357385919729","63.9451128087642","71.3806525851608","81.0176992897594","73.0854374728071","64.5155127216187","67.993661772585","78.9111056830905","74.552825315283","64.0956562928833","64.1052113964652","78.3688054325384","73.7558104357588","62.0978380809865","66.6342291263265","77.3134145233609","75.3999690878282","60.0161080389577","65.4933861825809","74.0287048291723","74.3492995008416","63.23211848991","59.6264507865322","78.2049999040201","77.3330934769517","62.248700130241","68.1954610355039","79.6051398570384","74.9059781372001","65.0338432723229","71.5345712043459","78.7359875057816","73.184991267843","64.3097881570868","66.0677617580519","75.5636615271962","68.2130722234008","56.9946792191322","63.9504417191952","76.5469823802283","76.8119206253541"
"8","Chaiyaphum","57.7720776757375","65.8779521121173","72.4340473382751","72.023234214807","57.1339071272009","66.923272912942","72.0592093918804","68.1694845572788","59.3807217771828","65.7921029306543","73.2253199392119","76.6020889716386","62.8416310006771","68.3789310839119","74.1913139145632","75.6704370373099","67.7204950279327","60.5551598988924","75.8685374884704","74.3894230268545","65.0797735289083","71.9480195587157","76.8330730258317","74.0394333630412","65.2998281619723","64.5823088434673","74.5431259837424","77.0901806301772","65.1987979369893","62.1213673774511","74.6664170196861","74.401040176632","61.8582760389631","65.4245473626727","71.5952173260992","73.3869275948633","59.2052001369615","62.173293958322","68.9976296093602","73.0781605013796","61.9925408169852","57.4974822871851","73.6355521693469","75.7721113836919","60.2364339790575","66.6436887685111","74.9220397311526","74.9254920658687","64.4976182541842","69.6470014933422","73.0479558289816","69.8130236440459","61.8233657747072","62.6526025841965","72.01681627876","64.5379248975698","55.8966997946559","61.1989717495966","72.090486365503","77.0844526498422"
"9","Chanthaburi","58.137703616253","64.9868717912729","72.991566342986","72.5726211233531","58.137711421857","65.0468608070402","71.2759008171853","72.734604813365","62.1413165698486","65.8025755054793","72.4825537149379","77.9545488050368","64.5460001503781","67.8553069211124","73.734401811464","76.1063344919726","68.7167993476477","58.2194403039977","75.0676775500123","76.9125662757216","67.2764317058891","73.7520327888327","75.975594985619","76.447895038619","67.3669441585088","62.962092184574","74.3152056704746","78.9992861887042","68.0288245402323","61.0460093161289","75.4195208103023","76.4887031097984","64.5445713219422","64.6013886917248","71.3571918516124","74.1383646990029","61.2082973665959","61.1574702764123","68.9655123257012","74.5269410351243","62.0686118127106","53.8472856966892","73.4353627165605","78.3447610233607","65.6984774024001","66.6004399722286","75.0349005581288","76.7380382009213","66.9379516172945","68.2262029897854","72.0953737451789","72.6201501081945","64.7725958015737","60.5160443776258","72.289799925272","70.1717587760325","58.6149113820584","58.4260399360038","71.2822186316444","78.7547971746895"
"10","Chiang Mai","64.1016082431959","71.5505122336788","78.3172658878824","74.048886821581","61.5006304948226","73.4412629141324","77.1877575376759","68.8356037305749","63.1194791240969","70.9838084511135","80.4175924093827","76.8639208752176","63.0831516017084","73.5367398801057","79.91645715133","75.4590139471967","69.7582282439522","67.9041731654734","80.5959115028381","74.3355505072552","65.4046813937201","74.2197687176691","82.2287349452143","74.7739957063094","68.1139501682226","71.5204528946808","80.901814730271","76.0704424733701","67.2146995212721","68.0609098600305","80.2994667219079","75.7748308347619","64.1441397404325","70.1536234869474","79.5500821196515","75.2549380343893","61.909240548507","69.6230903459632","75.5464819037396","76.4244631145312","65.6039747017017","63.8317456369815","79.4689989007038","77.9741415770158","63.7337817399398","71.4561565537384","80.8099958544192","75.8808446137801","66.9697241879892","74.5148862147677","80.7396310225777","75.1182484336522","67.530340446251","69.9813606179279","77.781162718068","69.466569125134","59.4459881519926","67.983267140043","78.8260540008545","77.1533636673637"
